s23-d46_4_9	He peeled third piece of pineapple	s23-d46	3828	4470	pineapple	4404
s23-d46_4_10	He peeled fourth piece of pineapple	s23-d46	4474	5220	pineapple	5166
s23-d46_5_1	The boy takes out the cutting board and knife and place them on the countertop.	s23-d46	198	387	pineapple	400
s23-d46_5_2	The boy takes out a plate and places it on the countertop.	s23-d46	440	589	pineapple	608
s23-d46_5_3	The boy gets out the pineapple and places it on the cutting board.	s23-d46	653	851	pineapple	888
s23-d46_5_4	The boy cuts off the stem of the pineapple.	s23-d46	940	1078	pineapple	1144
s23-d46_5_5	The boy cuts the pineapple in half vertically and then cuts it in half vertically again.	s23-d46	1186	1566	pineapple	1754
s23-d46_5_6	The boy cuts the ends off of one quarter of the pineapple.	s23-d46	1784	2122	pineapple	2162
s23-d46_5_7	The boy cuts the skin and center section off of the quarter of pineapple.	s23-d46	2220	3295	pineapple	3288
s23-d46_5_8	The boy cuts the ends, skin and center section from the remaining pieces of pineapple.	s23-d46	5229	5514	pineapple	5520
s23-d46_5_9	The boy rinses the cutting board.	s23-d46	5514	6208	pineapple	6270
s23-d46_5_10	The boy takes one quarter of the pineapple and cuts it in half vertically. He then slices it horizontally into small pieces.	s23-d46	6354	7015	pineapple	7052
s23-d46_5_11	The boy cuts the remaining three quarters of pineapple in the same fashion.	s23-d46	7063	9243	pineapple	9264
s23-d46_5_12	The boy places the cut up pineapple on the plate.	s23-d46	9378	10266	pineapple	10280
s23-d46_6_1	He gets a cutting board and knife.	s23-d46	198	387	pineapple	388
s23-d46_6_2	He gets a plate.	s23-d46	440	589	pineapple	608
s23-d46_6_3	He gets a pineapple.	s23-d46	653	851	pineapple	840
s23-d46_6_4	He quarters the pineapple and removes the skin from each quarter.	s23-d46	3332	5254	pineapple	5256
s23-d46_6_5	He rinses the cutting board.	s23-d46	5304	6208	pineapple	6198
s23-d46_6_6	He chops the pineapple.	s23-d46	6354	9243	pineapple	9260
s23-d46_6_7	He puts the pineapple on a plate.	s23-d46	9378	10266	pineapple	10274
s23-d46_6_8	He cleans the knife.	s23-d46	10339	10764	pineapple	10816
s23-d46_7_1	The person gets out a cutting board.	s23-d46	198	293	pineapple	282
s23-d46_7_2	The person gets out a knife.	s23-d46	313	387	pineapple	390
s23-d46_7_3	The person gets out a plate.	s23-d46	440	589	pineapple	604
s23-d46_7_4	The person gets out a pineapple.	s23-d46	653	851	pineapple	818
s23-d46_7_5	The person cuts off the top of the pineapple.	s23-d46	940	1020	pineapple	1030
s23-d46_7_6	The person cuts the pineapple in half.	s23-d46	1041	1327	pineapple	1344
s23-d46_7_7	The person cuts the halves into quarters and trims the top, bottom, rind and inner corner from each one.	s23-d46	940	5870	pineapple	5874
s23-d46_7_8	The person rinses the cutting board.	s23-d46	5979	6208	pineapple	6304
s23-d46_7_9	The person chops up the pineapple quarters.	s23-d46	6354	9243	pineapple	9262
s23-d46_7_10	The person puts the pineapple pieces on the plate.	s23-d46	9378	10266	pineapple	10290
s23-d46_8_1	The person gets out a cutting board.	s23-d46	198	293	pineapple	282
s23-d46_8_2	The person gets out a knife.	s23-d46	313	387	pineapple	402
s23-d46_8_3	The person gets out a plate.	s23-d46	440	589	pineapple	588
s23-d46_8_4	The person gets out a pineapple.	s23-d46	653	851	pineapple	840
s23-d46_8_5	The person cuts off the top of the pineapple.	s23-d46	940	1020	pineapple	1038
s23-d46_8_6	The person cuts the pineapple in half.	s23-d46	1041	1327	pineapple	1324
s23-d46_8_7	The person cuts the halves into quarters, and trims off the top, bottom, outside and inside corner of each one.	s23-d46	1430	6055	pineapple	6084
s23-d46_8_8	The person rinses the cutting board.	s23-d46	6073	6208	pineapple	6320
s23-d46_8_9	The person chops up the pineapple.	s23-d46	6354	9243	pineapple	9248
s23-d46_8_10	The person puts the pineapple pieces on the plate.	s23-d46	9378	10266	pineapple	10256
s23-d46_8_11	The person rinses the knife.	s23-d46	9378	10764	pineapple	10774
s23-d46_9_1	He gets a cutting board and a knife.	s23-d46	198	387	pineapple	392
s23-d46_9_2	He gets a plate and the pineapple.	s23-d46	440	851	pineapple	856
s23-d46_9_3	He removes the skin from the pineapple.	s23-d46	1430	5803	pineapple	5804
s23-d46_9_4	He rinses the cutting board.	s23-d46	5803	6208	pineapple	6284
s23-d46_9_5	He chops the pineapple.	s23-d46	6354	9243	pineapple	9246
s23-d46_9_6	He puts the pineapple on the plate.	s23-d46	9378	10266	pineapple	10260
s23-d46_9_7	He cleans the knife.	s23-d46	10339	10764	pineapple	10702
s23-d46_10_1	He goes to drawer and takes out a cutting board and knife.	s23-d46	198	387	pineapple	418
s23-d46_10_2	He goes to the cupboards and takes out a plate and a pineapple.	s23-d46	440	851	pineapple	848
s23-d46_10_3	He cuts and peels the pineapple and places the pieces on the plate.	s23-d46	940	5870	pineapple	6004
s23-d46_10_4	He washes the cutting board in the sink.	s23-d46	5979	6208	pineapple	6334
s23-d46_10_5	He takes the pineapple pieces and chops them into small cubes.	s23-d46	6354	9243	pineapple	9260
s23-d46_10_6	He takes the pineapple cubes and puts them on the plate.	s23-d46	9378	10266	pineapple	10308
s23-d46_10_7	He washes his hands and then the knife.	s23-d46	10339	10764	pineapple	10816
s23-d46_11_1	He gets a cutting board and knife.	s23-d46	198	387	pineapple	386
s23-d46_11_2	He gets a plate and the pineapple.	s23-d46	440	851	pineapple	838
s23-d46_11_3	He cuts off the top of it and cuts it in half.	s23-d46	940	1327	pineapple	1336
s23-d46_11_4	He removes the skin from the pineapple.	s23-d46	940	5514	pineapple	5522
s23-d46_11_5	He chops the pineapple and puts it on a plate.	s23-d46	5514	10266	pineapple	10288
s23-d46_13_1	The person gets out a cutting board.	s23-d46	198	293	pineapple	300
s23-d46_13_2	The person gets out a knife.	s23-d46	313	387	pineapple	394
s23-d46_13_3	The person gets out a plate.	s23-d46	440	589	pineapple	606
s23-d46_13_4	The person gets out a pineapple.	s23-d46	653	851	pineapple	842
s23-d46_13_5	The person cuts off the top of the pineapple.	s23-d46	940	1020	pineapple	1042
s23-d46_13_6	The person cuts the pineapple in half.	s23-d46	1041	1327	pineapple	1334
s23-d46_13_7	The person cuts each half of the pineapple into quarters and trims off the top, bottom, rind and inside corner of each one.	s23-d46	1430	5836	pineapple	5842
s23-d46_13_8	The person rinses the cutting board.	s23-d46	5840	6208	pineapple	6278
s23-d46_13_9	The person chops up the pineapple.	s23-d46	6354	9243	pineapple	9282
s23-d46_13_10	The person puts the pieces of pineapple on the plate.	s23-d46	9378	10266	pineapple	10300
s23-d46_13_11	The person rinses the knife.	s23-d46	10339	10764	pineapple	10796
s23-d46_14_1	The person takes out a knife and a cutting board.	s23-d46	198	387	pineapple	451
s23-d46_14_2	The person gets a plate from the cupboard.	s23-d46	440	589	pineapple	608
s23-d46_14_3	The person gets a pineapple from the pantry.	s23-d46	653	851	pineapple	852
s23-d46_14_4	The person cuts off the tops leaves of the pineapple.	s23-d46	940	1020	pineapple	1048
s23-d46_14_5	The person cuts the pineapple into thirds.	s23-d46	1041	1566	pineapple	1751
s23-d46_14_6	The person carefully trims off the skin of the pineapple slices and places them on the plate.	s23-d46	1430	5514	pineapple	5520
s23-d46_14_7	The person rinses off the cutting board of bits of peel.	s23-d46	5514	6208	pineapple	6342
s23-d46_14_8	The person chops the strips of pineapple on the cutting board.	s23-d46	6354	9243	pineapple	9339
s23-d46_14_9	The person scoops the chopped pineapple onto the plate.	s23-d46	9378	10266	pineapple	10282
s23-d46_14_10	The person rinses off his hands.	s23-d46	10339	10413	pineapple	10426
s23-d46_14_11	The person rinses off the knife.	s23-d46	10413	10764	pineapple	10817
s23-d46_15_1	He took out cutting board	s23-d46	198	293	pineapple	332
s23-d46_15_2	He took out knife	s23-d46	313	387	pineapple	394
s23-d46_15_3	He took out pineapple	s23-d46	440	851	pineapple	826
s23-d46_15_4	He cut off top of pineapple	s23-d46	940	1078	pineapple	1100
s23-d46_15_5	He took off pineapple skin	s23-d46	1186	2739	pineapple	2708
s23-d46_15_6	He sliced pineapple	1784	6208
s23-d46_15_7	He washed cutting board	1784	6208
s23-d46_15_8	He diced up pineapple	s23-d46	6354	9243	pineapple	9335
s23-d46_15_9	He put pineapple on plate	s23-d46	9378	10266	pineapple	10306
s23-d46_16_1	The man gathers a cutting board and knife from the drawer and a plate from the cabinet.	s23-d46	198	589	pineapple	587
s23-d46_16_2	Get pineapple from cabinet and place on cutting board.	s23-d46	653	851	pineapple	893
s23-d46_16_3	Cut off top of pineapple with knife.	s23-d46	940	1078	pineapple	1060
s23-d46_16_4	He stands pineapple up on cutting board and cuts the pineapple in half with the knife right down the center.	s23-d46	1186	1327	pineapple	1336
s23-d46_16_5	He takes one half of the pineapple and cuts that half down the center into two pieces.	s23-d46	1430	1566	pineapple	1661
s23-d46_16_6	He takes one of the halves and cuts of the skin of the pineapple.	s23-d46	1784	2767	pineapple	2808
s23-d46_16_7	He now has four chunks which he uses the knife to cut off the skin of all four chunks.	s23-d46	2739	5254	pineapple	5244
s23-d46_16_8	   He takes each of the four chunks seperately and slices each one down the center, then goes on to dice the chunks.	s23-d46	5304	9243	pineapple	9240
s23-d46_16_9	He places the diced pieces of the pineapple onto a plate from the cutting board.	s23-d46	9378	10266	pineapple	10256
s23-d46_16_10	He washes his hand before grabbing the knife.	s23-d46	10339	10462	pineapple	10490
s23-d46_17_1	The person removes a cutting board and knife from the drawer, and places them on the table.	s23-d46	198	387	pineapple	405
s23-d46_17_2	The person removes a dish from a cupboard and places it on the table.	s23-d46	440	589	pineapple	606
s23-d46_17_3	The person gets a pineapple from a different cupboard and places it on the board.	s23-d46	653	851	pineapple	877
s23-d46_17_4	The person chops off the top of the pineapple with the knife.	s23-d46	940	1020	pineapple	1044
s23-d46_17_5	The person chops the pineapple in half, then one of the halves into quarters, and removes all but one quarter from the board.	s23-d46	1041	1834	pineapple	1860
s23-d46_17_6	The person cuts the ends off of the quarter.	s23-d46	1860	2122	pineapple	2208
s23-d46_17_7	The person slices the skin off of the quarter.	s23-d46	2220	2739	pineapple	2665
s23-d46_17_8	The person slices the middle portion of the pineapple away from the quarter and places it in the dish.	s23-d46	2739	3295	pineapple	3294
s23-d46_17_9	He repeats all this with another quarter.	s23-d46	3332	3851	pineapple	3857
s23-d46_17_10	And repeats with the remaining two quarters.	s23-d46	2919	5563	pineapple	5542
s23-d46_17_11	He washes off the board in the sink a bit and puts it back on the table.	s23-d46	5580	6208	pineapple	6315
s23-d46_17_12	He takes a quarter from the dish to the board, slices it in half lengthwise, and dices each half of the quarter.	s23-d46	6354	7015	pineapple	7067
s23-d46_17_13	He repeats with the three remaining quarters.	s23-d46	7063	9243	pineapple	9274
s23-d46_17_14	He picks up all the chopped pieces, a little at a time, and places them in the dish.	s23-d46	9378	10266	pineapple	10279
s23-d46_17_15	He washes his hands, the knife, and the board.	s23-d46	10489	10764	pineapple	10817
s23-d46_19_1	He opened the drawer and took out a cutting board and knife.	s23-d46	198	387	pineapple	410
s23-d46_19_2	He walked to the cabinets, took out a plate and placed it on the counter.	s23-d46	440	589	pineapple	598
s23-d46_19_3	He walked to the pantry, took out a Pineapple, and placed it on the cutting board.	s23-d46	653	851	pineapple	850
s23-d46_19_4	He started to cut the pineapple and placed a quarter piece on the plate.	s23-d46	940	3295	pineapple	3296
s23-d46_19_5	He cut the 2nd quarter and placed that on the plate as well.	s23-d46	3332	3851	pineapple	3848
s23-d46_19_6	He cut and placed the 3rd quarter on the plate.	s23-d46	3877	4516	pineapple	4520
s23-d46_19_7	He cut and placed the final quarter of the pineapple onto the plate.	s23-d46	3877	5514	pineapple	5514
s23-d46_19_8	He removed half of the pineapple to remove the cores and then replaced them back on the plate.	s23-d46	5514	5836	pineapple	5842
s23-d46_19_9	He put all the pineapple scraps in a pile	s23-d46	5840	6055	pineapple	6074
s23-d46_19_10	He washed the cutting board.	s23-d46	6073	6208	pineapple	6190
s23-d46_19_11	He cut the quarters in half and diced all of the pineapple.	s23-d46	6354	9243	pineapple	9236
s23-d46_19_12	He placed the diced pineapple on the plate.	s23-d46	9378	10266	pineapple	10252
s23-d46_19_13	He washed his hands.	s23-d46	10339	10462	pineapple	10470
s23-d46_19_14	He washed the knife.	s23-d46	10339	10764	pineapple	10776
